CLK_REF_COUNTER, CPU0 COUNTER, CPU0 - Data Cache Refill, CPU0 - Data Cache Access, CPU0 - Data Stall, CPU0 - Write Stall, CPU0 - Instruction Rename, CPU0 - Branch Miss
1426552181817040000,0,0,0,0,0,0,0
1426552181867040000,0,0,1,0,0,2,0
1426552181877040000,7918,51,8333,777,0,49237,249
1426552181897040000,194369,6212,5262932,45379,0,10687114,6665
1426552181935040000,593250,18169,16708418,132214,0,33582388,20400
1426552181955040000,799829,24556,22636100,179046,0,45440518,27519
1426552181975040000,1006539,31047,28567410,226687,0,57305938,34644
1426552181995040000,1219780,37017,34685855,270585,0,69544415,41976
1426552182005040000,1329119,40445,37823090,295769,0,75820305,45743
1426552182025040000,1531297,46754,43624666,341724,0,87426251,52713
1426552182045040000,1741399,53284,49653388,389557,0,99486383,59953
1426552182055040000,1848760,56586,52734213,413419,0,105649447,63652
1426552182075040000,2056364,62151,58691602,453988,0,117565777,70793
1426552182095040000,2262889,68602,64617778,500954,0,129420936,77911
1426552182105040000,2369743,71882,67683947,524930,0,135554668,81593
1426552182125040000,2575542,78449,73589114,572518,0,147367497,88686
1426552182145040000,2786812,84259,79651054,615473,0,159493328,95952
1426552182155040000,2893520,87704,82712788,640484,0,165618192,99629
1426552182175040000,3095096,93927,88497266,685804,0,177189769,106577
1426552182195040000,3307488,100437,94592253,732369,0,189382541,113896
1426552182205040000,3415798,103112,97699728,752313,0,195597771,117613
1426552182225040000,3617351,109416,103483430,797880,0,207167899,124560
1426552182245040000,3826458,115858,109484062,844193,0,219171939,131768
1426552182245040000,3871913,117065,110787989,853182,0,221779875,133327
1426552182300040000,4420013,134505,126514248,980386,0,253239385,152212
1426552182360040000,5042341,153621,144370506,1120295,0,288958975,173643
1426552182410040000,5569616,169341,159500136,1235167,0,319224026,191798
1426552182460040000,6096279,184881,174612640,1348293,0,349454812,209934
1426552182510040000,6622303,201074,189707019,1466698,0,379650504,228062
1426552182560040000,7137918,216447,204502269,1578741,0,409246710,245817
1426552182610040000,7655928,231764,219366722,1690117,0,438981380,263656
1426552182660040000,8179328,247974,234385854,1807843,0,469026635,281695
1426552182710040000,8700004,263535,249326280,1920976,0,498913180,299624
1426552182760040000,9221160,279171,264280334,2034846,0,528827012,317569
1426552182810040000,9739069,294577,279141448,2147340,0,558555019,335404
1426552182860040000,10261527,310937,294132842,2266909,0,588544725,353409
1426552182910040000,10782136,326335,309071469,2379533,0,618427694,371336
1426552182960040000,11307124,341636,324136320,2490749,0,648563201,389414
1426552183010040000,11828078,357126,339084702,2604481,0,678467725,407366
1426552183060040000,12348673,373175,354023357,2720926,0,708349925,425295
1426552183110040000,12866778,388893,368889421,2835637,0,738087817,443136
1426552183160040000,13389059,404482,383875576,2950177,0,768065845,461119
1426552183210040000,13913269,420944,398917108,3070436,0,798155829,479185
1426552183260040000,14433744,436737,413851065,3185983,0,828029525,497106
1426552183324040000,15097010,456617,432882221,3331930,0,866099007,519944
1426552183374040000,15606845,472299,447512706,3445253,0,895366897,537518
1426552183424040000,16125049,487764,462382294,3558058,0,925111813,555362
1426552183474040000,16646917,503112,477357377,3669741,0,955067711,573332
1426552183524040000,17167784,518665,492303356,3783097,0,984965415,591268
1426552183574040000,17702571,535294,507648406,3905281,0,1015662466,609696
1426552183624040000,18217082,550935,522411298,4019355,0,1045193990,627414
1426552183674040000,18748335,566712,537654930,4135240,0,1075687016,645705
1426552183724040000,19268207,582815,552572577,4253002,0,1105529230,663623
1426552183774040000,19783160,598150,567348993,4364503,0,1135087872,681356
1426552183824040000,20305556,613771,582338551,4478738,0,1165072684,699343
1426552183874040000,20840610,630466,597691777,4600286,0,1195785734,717781
1426552183924040000,21350906,645809,612334034,4712385,0,1225076331,735355
1426552183974040000,21867929,661164,627169748,4824455,0,1254753463,753158
1426552184024040000,22394066,677136,642266102,4941103,0,1284951984,771274
1426552184074040000,22913599,693274,657174288,5057979,0,1314775248,789180
1426552184124040000,23434324,708998,672115379,5173392,0,1344663232,807110
1426552184174040000,23952610,724902,686986023,5290430,0,1374410196,824956
1426552184224040000,24474412,740447,701958783,5403667,0,1404361470,842923
1426552184274040000,24996745,756584,716947247,5521535,0,1434345322,860926
1426552184578040000,28153672,851545,807534230,6213931,0,1615556209,969661
1426552184628040000,28681454,867235,822678359,6328803,0,1645850184,987833
1426552184678040000,29213518,883071,837945562,6444090,0,1676390387,1006153
1426552184728040000,29728460,899021,852722130,6560551,0,1705950356,1023902
1426552184778040000,30247938,914658,867627556,6674964,0,1735767036,1041790
1426552184828040000,30765998,930176,882492749,6788031,0,1765503184,1059629
1426552184878040000,31293607,945933,897631796,6903200,0,1795787040,1077796
1426552184928040000,31799377,961777,912145176,7017768,0,1824820420,1095229
1426552184978040000,32330016,977407,927371636,7131881,0,1855279362,1113500
1426552185028040000,32859246,993193,942557197,7247368,0,1885656270,1131723
1426552185078040000,33372939,1008803,957296427,7361915,0,1915140442,1149411
1426552185128040000,33893621,1024831,972237875,7478460,0,1945030240,1167357
1426552185178040000,34413630,1040179,987159344,7590785,0,1974878944,1185263
1426552185228040000,34942183,1055826,1002326174,7704538,0,2005218339,1203463
1426552185278040000,35456108,1071746,1017073763,7819754,0,2034720445,1221177
1426552185331040000,36009556,1087902,1032954662,7938145,0,2066488057,1240231
1426552185381040000,36512786,1103099,1047394154,8049084,0,2095372826,1257562
1426552185431040000,37043187,1119701,1062613794,8169718,0,2125818962,1275840
1426552185481040000,37569349,1135225,1077711991,8282715,0,2156021126,1293958
1426552185531040000,38087650,1151147,1092583176,8399088,0,2185769238,1311804
1426552185581040000,38609590,1166679,1107559773,8512797,0,2215728197,1329777
1426552185631040000,39119501,1182507,1122191600,8628548,0,2244998755,1347353
